,Jahr,TMK
0,1973,8.4
1,1974,8.5
2,1975,8.5
3,1976,9.45
4,1977,9.6
5,1978,8.6
6,1979,8.4
7,1980,7.8
8,1981,10.4
9,1982,9.0
10,1983,9.5
11,1984,8.649999999999999
12,1985,8.9
13,1986,8.8
14,1987,9.3
15,1988,10.149999999999999
16,1989,10.2
17,1990,10.2
18,1991,9.0
19,1992,9.45
20,1993,10.1
21,1994,9.4
22,1995,10.2
23,1996,9.9
24,1997,9.6
25,1998,10.1
26,1999,10.2
27,2000,10.8
28,2001,10.3
29,2002,10.1
30,2003,10.2
31,2004,10.35
32,2005,10.8
33,2006,11.6
34,2007,10.8
35,2008,9.7
36,2009,11.5
37,2010,9.8
38,2011,10.9
39,2012,10.95
40,2013,10.3
41,2014,11.7
42,2015,11.4
43,2016,9.649999999999999
44,2017,11.0
45,2018,12.4
46,2019,10.6
