,Jahr,TMK,Anzahl_heisser_Tage
0,1973,8.4,
1,1974,8.5,
2,1975,8.5,
3,1976,9.45,2.0
4,1977,9.6,
5,1978,8.6,
6,1979,8.4,
7,1980,7.8,
8,1981,10.4,
9,1982,9.0,
10,1983,9.5,7.0
11,1984,8.649999999999999,2.0
12,1985,8.9,1.0
13,1986,8.8,1.0
14,1987,9.3,
15,1988,10.149999999999999,1.0
16,1989,10.2,
17,1990,10.2,2.0
18,1991,9.0,1.0
19,1992,9.45,7.0
20,1993,10.1,
21,1994,9.4,5.0
22,1995,10.2,4.0
23,1996,9.9,1.0
24,1997,9.6,
25,1998,10.1,5.0
26,1999,10.2,
27,2000,10.8,3.0
28,2001,10.3,
29,2002,10.1,3.0
30,2003,10.2,16.0
31,2004,10.35,
32,2005,10.8,2.0
33,2006,11.6,8.0
34,2007,10.8,1.0
35,2008,9.7,1.0
36,2009,11.5,1.0
37,2010,9.8,3.0
38,2011,10.9,3.0
39,2012,10.95,2.0
40,2013,10.3,8.0
41,2014,11.7,2.0
42,2015,11.4,19.0
43,2016,9.649999999999999,2.0
44,2017,11.0,5.0
45,2018,12.4,14.0
46,2019,10.6,11.0
