Jahr,Temperatur_Celsius_Mittel_Tagesdurchschnitt,Temperatur_Celsius_Mittel_Tagesminimum,Temperatur_Celsius_Mittel_Tagesmaximum,Temperatur_Celsius_Maximum,Temperatur_Celsius_Minimum,Sonnenscheindauer_Stunden_Summe,Niederschlag_Millimeter_Summe,Niederschlag_Millimeter_Maximum_Tagesmaximum,Eistage_Anzahl,Frosttage_Anzahl,Heisse_Tage_Anzahl,Sommertage_Anzahl,Tropennaechte_Anzahl
1973,8.86,5.47,13.08,32.1,-13.7,1635.6,838.2,62.0,17.0,93.0,5.0,52.0,0.0
1974,9.55,6.16,13.78,31.6,-4.6,1613.2,881.3,35.4,3.0,35.0,4.0,30.0,0.0
1975,9.4,6.19,13.48,31.0,-9.5,1639.1,964.1,77.2,14.0,73.0,4.0,44.0,1.0
1976,9.41,5.77,13.83,32.4,-10.4,1876.2,743.3,30.5,24.0,71.0,11.0,46.0,0.0
1977,9.57,6.21,13.68,33.7,-5.8,1484.8,878.9,37.2,11.0,61.0,2.0,25.0,0.0
1978,8.53,5.27,12.47,29.6,-7.5,1507.6,1024.3,81.4,27.0,72.0,0.0,24.0,0.0
1979,9.07,5.67,13.3,31.1,-12.6,1534.2,982.9,38.7,15.0,61.0,2.0,36.0,0.0
1980,8.38,4.99,12.58,32.3,-10.7,1475.8,787.5,21.0,30.0,84.0,3.0,27.0,0.0
1981,9.16,5.51,13.54,30.1,-10.5,1586.5,965.0,46.4,22.0,87.0,2.0,37.0,0.0
1982,9.6,6.16,13.94,31.2,-8.3,1674.7,912.7,43.2,16.0,65.0,5.0,45.0,0.0
1983,9.71,6.06,14.36,36.0,-10.1,1778.8,715.6,55.3,23.0,75.0,17.0,56.0,1.0
1984,8.8,5.38,13.11,34.3,-8.5,1642.1,867.6,58.8,11.0,85.0,6.0,34.0,0.0
1985,8.63,4.88,13.21,32.5,-18.4,1814.0,737.0,26.5,38.0,97.0,8.0,42.0,0.0
1986,8.95,5.31,13.25,33.2,-13.7,1667.1,994.8,54.1,32.0,83.0,2.0,49.0,0.0
1987,8.81,5.5,13.02,31.0,-19.0,1433.0,845.1,56.7,30.0,83.0,3.0,45.0,0.0
1988,9.95,6.5,14.35,32.5,-8.0,1605.1,995.8,35.2,3.0,58.0,3.0,41.0,0.0
1989,9.92,6.42,14.45,31.3,-9.0,1706.6,772.6,48.7,18.0,61.0,4.0,56.0,0.0
1990,10.21,6.42,14.82,32.8,-7.1,1835.7,906.5,49.7,16.0,58.0,11.0,47.0,0.0
1991,9.31,5.69,13.69,33.3,-10.8,1713.5,716.1,43.8,28.0,78.0,10.0,64.0,0.0
1992,10.2,6.68,14.51,33.8,-8.6,1633.2,896.3,44.0,18.0,59.0,17.0,58.0,0.0
1993,9.6,6.22,13.95,31.9,-11.3,1602.8,859.8,55.6,19.0,68.0,6.0,52.0,0.0
1994,10.73,7.36,15.06,34.3,-7.0,1530.8,869.6,51.5,9.0,35.0,20.0,58.0,1.0
1995,9.84,6.4,14.2,34.3,-10.4,1542.1,1040.2,46.4,18.0,72.0,14.0,49.0,1.0
1996,8.76,5.27,13.18,32.9,-12.8,1654.5,825.1,64.9,23.0,98.0,5.0,47.0,0.0
1997,9.89,6.14,14.7,31.3,-10.9,1803.4,708.3,33.5,18.0,62.0,5.0,53.0,0.0
1998,10.1,6.4,14.71,35.0,-8.4,1707.9,773.0,37.6,19.0,78.0,17.0,55.0,0.0
1999,9.92,6.57,14.23,31.8,-9.9,1573.9,973.4,31.9,19.0,73.0,5.0,48.0,0.0
2000,10.73,7.22,15.21,33.3,-11.4,1715.2,771.9,67.6,5.0,42.0,8.0,55.0,0.0
2001,10.07,6.51,14.39,32.4,-13.4,1715.4,895.7,36.4,12.0,70.0,15.0,52.0,0.0
2002,10.7,6.89,15.31,35.2,-8.6,1688.6,1018.2,35.6,13.0,42.0,9.0,51.0,0.0
2003,10.6,6.34,15.89,36.3,-10.0,2059.5,626.5,28.4,17.0,88.0,39.0,92.0,4.0
2004,10.03,6.28,14.51,31.2,-6.8,1741.3,734.8,27.0,9.0,79.0,9.0,55.0,0.0
2005,9.81,6.05,14.48,33.6,-12.5,1799.4,748.5,27.0,21.0,95.0,16.0,54.0,0.0
2006,10.34,6.64,15.05,35.5,-9.7,1844.9,837.0,39.3,19.0,83.0,24.0,63.0,1.0
2007,10.69,6.77,15.46,35.2,-6.5,1929.4,906.3,48.4,16.0,47.0,9.0,62.0,0.0
2008,10.22,6.42,14.88,33.0,-6.4,1849.55,752.7,37.8,7.0,78.0,11.0,59.0,0.0
2009,10.27,6.46,14.94,34.1,-13.6,1757.2,789.1,67.3,25.0,72.0,7.0,63.0,0.0
2010,9.32,5.67,13.77,35.3,-9.4,1627.6,888.3,38.4,31.0,85.0,17.0,45.0,0.0
2011,10.8,6.87,15.67,34.5,-7.6,1948.6,801.4,38.5,11.0,53.0,10.0,60.0,0.0
2012,10.35,6.5,15.09,34.1,-13.6,1900.0,958.3,70.7,20.0,57.0,14.0,63.0,0.0
2013,9.73,6.15,14.11,36.7,-7.3,1602.0,872.3,47.8,18.0,87.0,21.0,61.0,0.0
2014,11.22,7.48,15.92,34.9,-10.5,1707.7,792.7,30.6,2.0,28.0,10.0,49.0,0.0
2015,11.07,7.14,15.83,36.4,-5.9,1858.6,736.0,62.9,3.0,63.0,35.0,63.0,9.0
2016,10.65,7.05,15.22,33.8,-7.4,1690.6,977.8,50.6,3.0,57.0,11.0,64.0,1.0
2017,10.67,6.77,15.46,34.6,-10.4,1927.3,978.8,76.6,16.0,61.0,23.0,68.0,2.0
2018,11.87,7.83,16.92,36.6,-11.2,2119.6,616.0,35.5,9.0,54.0,31.0,104.0,6.0
2019,11.12,7.08,15.96,36.9,-4.2,2050.2,881.2,34.4,4.0,54.0,22.0,62.0,3.0
2020,11.36,7.13,16.24,34.3,-5.7,,765.0,36.3,2.0,59.0,18.0,76.0,1.0
2021,9.7,5.33,14.45,32.8,-9.8,,991.7,55.9,7.0,82.0,6.0,49.0,0.0
2022,11.43,6.51,16.51,35.6,-8.1,2256.1,872.0,84.6,3.0,77.0,19.0,78.0,0.0
2023,11.52,6.86,16.37,35.7,-7.4,1951.7,870.4,32.2,3.0,64.0,25.0,85.0,0.0
2024,11.21,7.03,15.75,33.6,-8.6,1687.3,1072.5,77.1,11.0,54.0,20.0,63.0,0.0
