start,end,no2_mean,no2_median,no2_min,no2_max,o3_mean,o3_median,o3_min,o3_max,pm10_mean,pm10_median,pm10_min,pm10_max,pm25_mean,pm25_median,pm25_min,pm25_max
2008-01-01,2008-12-31,20.368177586824203,16.36,0.09,135.26,43.82794121161429,42.98,0.01,158.07,19.91882879779538,16.32,0.62,1323.33,,,,
2009-01-01,2009-12-31,21.26578878281623,17.52,0.24,93.7,45.222669060442854,42.81,0.01,166.11,19.909883640552998,16.64,0.14,232.14,,,,
2010-01-01,2010-12-31,22.591362653208364,19.02,0.02,108.1,47.424217621569575,45.015,0.02,197.09,23.90088137153377,19.54,0.79,328.93,,,,
2011-01-01,2011-12-31,20.43780874579529,17.0,0.15,109.3,46.03746698679471,43.5,0.04,169.89,20.28801242236025,17.244999999999997,1.39,136.4,,,,
2012-01-01,2012-12-31,22.310596747189667,18.96,0.23,106.29,48.34922082585278,47.16,0.15,169.2,19.425963607232777,16.45,0.2,106.84,,,,
2013-01-01,2013-12-31,21.507596407185627,18.4,0.01,93.24,47.99977471377569,46.32,0.01,160.07,18.583960690206833,15.37,-0.33,745.31,,,,
2014-01-01,2014-12-31,22.085224409930294,19.11,0.36,105.47,44.95796974426702,42.58,0.06,161.15,16.694406897349843,13.92,0.5,508.48,13.248854422604422,12.875,0.43,76.09
2015-01-01,2015-12-31,23.073997903808085,19.44,0.35,119.28,48.728147746444925,47.745000000000005,0.01,203.17,18.892731282784933,16.835,0.32,321.0,14.744080562507449,12.62,0.26,272.73
2016-01-01,2016-12-31,20.342603502261394,16.9,0.07,107.37,47.6199904363419,46.19,0.03,154.07,14.623307893837568,12.63,0.34,432.45,11.423181818181819,9.22,0.19,118.36
2017-01-01,2017-12-31,21.074078159840393,17.19,2.03,110.9,48.83862792380034,47.9,0.27,167.92,15.2248468094909,12.21,0.73,182.86,11.463640133625159,8.55,0.32,158.99
2018-01-01,2018-12-31,19.64664953871307,16.6,0.66,104.85,55.278802639472104,53.0,0.03,180.28,17.659001601097895,15.515,0.32,243.01,12.946891582799633,10.75,0.17,112.53
2019-01-01,2019-12-31,19.035646456418014,15.4,0.36,100.78,51.898595100864554,50.78,0.01,187.62,15.290834860284013,12.4,0.53,422.03,11.01511934817535,8.4,0.35,183.0
2020-01-01,2020-12-31,17.216895591647333,13.84,1.25,72.45,51.2542900084165,50.28,0.06,153.56,12.124409945004583,10.375,0.27,89.92,8.098952795600367,6.4,0.13,38.67
2021-01-01,2021-12-31,15.957015341701535,12.975000000000001,0.15,79.38,50.084125765030606,49.58,-0.55,170.5,12.07188636103807,9.91,0.27,121.34,7.978660112038413,6.48,0.21,61.02
2022-01-01,2022-12-31,15.128989640321265,11.71,0.22,90.45,52.5087099090474,51.885000000000005,0.01,164.66,11.426351615499597,9.51,0.25,121.84,8.797328964010578,6.71,0.15,126.23
2023-01-01,2023-12-31,13.411490972626673,10.48,0.07,82.92,59.264645848289064,59.364999999999995,0.09,171.33,11.354538698982507,9.63,0.45,246.56,7.397966159826226,5.97,0.15,208.31
2024-01-01,2024-12-31,13.408351482854496,11.085,0.01,92.54,49.63079036144578,49.77,0.02,145.53,11.668501774064325,9.31,0.49,317.78,7.9905502173415695,6.21,0.27,97.21
